62.193.108.153:1976
200.59.10.42:999
138.121.161.82:8099
103.175.242.32:8080
103.130.197.196:80
188.165.126.234:55555
168.205.37.4:8080
102.38.17.153:8080
174.138.167.179:8888
174.138.167.180:8888
189.82.62.163:8080
201.6.117.108:8082
45.112.127.75:8080
103.152.232.134:8080
66.70.197.195:8050
185.82.139.1:443
200.110.105.70:999
200.12.46.250:999
47.89.35.147:5000
206.189.150.230:3128
188.132.222.20:8080
183.89.79.248:8080
83.222.7.77:8080
172.81.61.232:3128
38.56.70.97:999
109.200.155.195:8080
45.189.112.97:999
101.128.79.172:32650
103.155.166.93:8181
103.165.157.76:8080
103.39.237.10:8088
62.193.108.131:1976
103.65.193.200:32650
14.102.51.185:8080
62.201.223.7:8183
94.140.242.221:8080
181.225.101.52:999
177.93.45.156:999
186.97.172.178:60080
174.138.167.181:8888
179.51.125.152:999
179.1.192.11:999
45.189.118.92:999
124.107.46.11:8082
206.189.146.13:8080
137.184.197.190:80
200.69.210.59:80
68.183.230.116:42045
94.242.55.10:80
87.250.63.172:8118
190.124.165.199:3128
103.235.199.179:9812
103.147.247.15:3127
46.0.203.186:8080
200.223.143.68:80
1.234.23.159:80
200.29.109.112:44749
192.53.114.26:80
141.136.42.164:80
103.69.108.78:8191
159.203.61.169:8080
64.227.23.88:8118
5.45.107.146:8888
80.74.54.147:3128
172.104.117.89:80
134.209.29.120:3128
154.236.179.229:1976
167.71.5.83:8080
102.38.31.8:80
8.219.176.202:8080
36.93.83.25:8080
124.156.139.46:4780
135.181.137.85:3128
4.188.236.47:80
161.35.70.249:8080
91.228.127.70:80
43.134.211.34:3128
51.15.242.202:8888
219.68.43.251:80
197.232.48.155:32650
103.121.149.69:8080
47.244.32.96:80
117.54.114.103:80
197.243.67.96:80
103.180.125.61:3128
186.121.235.66:8080
20.3.76.94:8080
195.133.45.149:7788
165.139.47.113:80
202.61.199.166:80
203.143.28.28:80
143.244.182.101:80
103.94.52.70:3128
159.138.139.32:8080
185.162.251.76:80
47.56.110.204:8989
185.76.10.74:8081
64.225.8.82:9995
197.243.20.178:80
178.33.3.163:8080
8.219.97.248:80
197.243.67.100:80
47.74.152.29:8888
176.165.55.74:80
121.1.41.162:111
103.190.232.186:80
210.172.199.88:8080
43.156.100.152:80
136.243.55.199:3128
217.76.50.200:8000
149.202.172.113:80
129.150.36.169:8090
124.13.181.6:80
41.77.188.131:80
64.225.4.29:9499
60.52.61.36:80
23.88.33.250:80
23.88.125.24:80
60.52.61.38:80
128.199.202.122:3128
139.162.78.109:3128
138.68.60.8:3128
58.27.59.249:80
158.160.56.149:8080
62.204.197.206:80
51.77.72.205:443
137.184.232.148:80
119.8.120.4:80
20.241.236.196:3128
152.228.206.188:80
146.59.147.70:8888
181.167.81.69:8080
5.180.181.26:8888
165.227.81.188:9958
103.195.245.234:80
107.152.45.232:50001
45.77.28.109:8989
95.183.140.94:80
34.76.73.21:80
95.183.140.89:80
139.59.1.14:3128
167.71.211.10:80
42.3.28.109:80
125.141.151.83:80
202.62.84.210:53281
103.166.29.14:3125
139.99.43.26:3128
103.165.245.23:8080
103.245.204.90:32650
95.174.98.125:80
187.1.57.206:20183
